summoner,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu & Willump,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Senna,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
FuzzyWuzzzy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16008,0,0,0,0,0,0,174,0,0,0,0,0,0,29562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SerhatLeMore,0,3707,0,0,0,0,4796,0,0,0,0,0,0,0,0,0,0,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,759,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,1234
LORD JALUFO,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,5676,142,177,0,0,0,0,0,0,0,113,1126,0,0,0,0,0,713,0,0,0,0,0,149,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,918,111,261,20784,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27420,0,917,0,0,0,345,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,2859,753,0,0,0,0,0,0,0,0,534,0,0,0,0,87154,144,0,0,0,0,0,0,0,0,0,1514,0,0,0,0
Luxray Artric,0,125,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,148,0,0,120,0,0,0,0,0,0,0,0,0,6220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3863,0,0,0,0,0,0,0,0,0,1403,0,0,0,0,0,0,0,0,0,0,0,0,86,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36587,0,0,0,0,0,0
Khrysller,0,0,0,0,0,0,0,0,0,0,0,0,1107,0,0,670,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55Terminater55,5634,1201,1217,0,0,0,0,0,0,0,0,0,3700,0,0,0,0,0,236,0,1296,2417,974,2280,0,0,0,3592,0,1054,0,0,0,0,6091,1933,11745,0,0,0,0,0,0,4881,0,0,0,185,0,0,0,0,162,0,0,0,0,0,0,0,0,0,14924,10995,0,0,0,1244,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,0,0,0,171,0,0,0,18533,1261,0,0,0,0,0,0,178,4670,0,0,231,209,0,0,0,0,0,0,0,0,1643,0,0,0,332,0,965,1623,0,0,0,1698,0,0,0,2169,0,1472,1339,0,4252,0,0,0,0,0,233,0,0,0,0,0,0,0
Borat91,879,0,4731,689,417,0,0,0,9933,0,0,0,7825,0,0,0,0,0,0,0,115,0,1467,0,0,0,133,641,0,1519,20430,0,0,813,0,2384,0,0,0,0,0,765,0,0,5812,0,0,2196,0,0,0,761,0,794,98,94,0,0,0,0,0,114,920,94,0,4297,95,0,44652,10207,0,0,7767,15606,859,19683,0,12513,0,0,156,1247,630,0,0,0,0,109,0,0,0,0,1001,0,0,0,3445,0,331,0,0,0,111,2686,0,745,0,1436,0,0,77,0,0,0,0,0,0,0,1683,554,106,75,101,88,0,0,0,0,0,25419,3178,166,0,0,0,5753,6327,0,8216,1108,0,0,0,0,0,838,31728,13798,0,0
FxckinHeck,3791,3051,18181,1033,6115,0,1168,2295,1196,0,109,0,158,2321,0,1108,280,1824,1171,0,1837,965,1532,265,1418,184,3815,113,323,304,2559,151,1173,3525,1353,1501,140,824,170,0,5474,0,0,3843,3209,494,3124,1118,104,1439,91,1066,2674,4522,4527,1569,0,2050,0,113,652,2908,4064,268,0,0,119,1044,2978,3341,106,1716,7027,153,3896,1681,108,7677,667,3163,0,1071,3789,1931,726,120,1254,1661,528,9799,1045,138,13255,173,1526,6405,2392,156,1015,713,3369,7148,6864,2887,1798,698,976,135,163,408,243,664,5694,464,884,15514,137,0,7045,0,52,1244,137,737,173,836,2202,0,879,891,890,0,1034,1887,4893,5090,4342,5629,590,3829,49489,0,121,191,2030,3217,1655,137,2336,739
Méphyst demoneye,1915,2111,8564,8265,11386,2396,11934,177,12064,4031,18377,629,22539,4097,1773,11526,1192,1187,8841,1000,9110,2957,10940,1397,21498,8511,10805,1716,10127,1808,7488,23095,8400,21417,2894,4939,8253,2407,17570,16454,1606,31299,5268,3403,19865,2406,14825,2386,159,1857,1116,11232,5174,18403,3130,11295,8208,6528,3455,12221,1706,2345,16852,5495,11986,9591,13453,1349,7658,10902,2511,11620,45298,2392,25297,4463,925,10266,5216,869,10624,13318,13210,4790,71,22911,6860,12855,6162,28977,3655,305,9205,7955,1094,7306,8856,90,6392,1639,788,7574,51954,14966,3763,7727,14859,2408,11383,2195,3147,9594,847,117,908,1444,2435,4095,22254,8248,26355,6459,8774,9795,11749,4316,29836,33286,1265,13286,255,17727,2439,5496,6514,16740,8212,751,23304,22204,26084,0,3115,0,15568,10528,3361,10118,547,1579
Reife,2471,11929,1690,30267,9777,1337,2560,0,8376,98,5598,1631,21456,15358,6156,10061,184,1274,3347,1482,40864,6349,2831,7923,31801,1393,4595,10143,1948,7780,6238,26220,7555,6628,2652,3602,7578,34131,247,1967,5146,0,2782,22444,33030,34010,17431,4742,2063,3932,5100,142,5624,11624,2789,3090,1686,17958,1789,1321,3701,4275,34127,5528,0,0,15204,2191,9293,101089,2086,4059,13940,11646,14867,8015,2841,6601,5375,0,13185,556,8017,18189,24233,106,10780,3879,6352,0,16729,561,7378,0,21962,47451,4622,3207,3682,1044,710,3736,3925,48538,4739,827,10162,5904,1854,3065,4348,1101,263,5200,6221,143,7117,2974,4403,37460,3004,10959,4079,3542,6146,4599,134,7873,37000,15301,200,2820,845,7232,3221,6889,11294,2222,102,40225,32831,0,1966,3328,0,4492,130,3519,0,19089
