summoner,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu & Willump,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Senna,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Blxckqueenxx3,0,883,137,0,0,0,7103,0,1312,0,0,0,0,0,0,7385,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,195,0,0,0,2745,0,1575,0,0,0,0,3215,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,0,123,0,0,10252,0,0,0,0,0,22053,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,166,0,0,15545,0,0,0,0,0,0,0,0,0,2753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15619,0,0,0,0,194,0
Illuminamí,0,47069,5763,10873,150,1525,6742,0,7806,3141,0,0,550,2976,5216,21649,4111,1722,1704,0,2971,6311,0,1032,943,1671,4259,569,0,2901,0,0,245,3141,0,0,2098,0,890,5121,4862,860,55386,0,153,1341,154,8967,864,967,15062,0,0,313,2372,747,0,0,0,0,0,9563,708,20768,0,3267,0,50470,12291,0,0,244,1416,10737,0,23017,404860,0,0,1259,1292,1118,0,0,16274,0,113,1943,119,18152,3975,260,145,0,133,240,6103,0,0,2684,135,0,0,0,2339,0,0,6463,0,40522,56186,335,0,9762,3342,485,1030,5004,128,8418,3565,0,270,0,0,120,255,0,11318,0,0,11518,0,0,0,0,159,3972,0,0,0,0,0,1692,146,326,0,0,2665,8457
TanteLinchen,0,1216,695,0,0,0,221,0,4711,0,0,0,0,0,800,12865,0,0,0,0,116,0,0,0,0,137,1123,21634,129,2186,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,7838,0,0,0,0,0,2324,0,0,13085,0,0,1120,18634,0,0,0,631,2496,0,3728,9051,0,0,19634,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10282,0,4048,13227,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,0,0,0,0,7153,0,0,0,0,0,13350,0,580,0,0,14165,0
Arrgon,0,2913,2157,0,695,0,0,0,10613,1952,3090,0,0,3845,124,50220,0,979,1035,0,1098,2885,0,301,823,714,1624,916,514,101,137,0,143,1458,89,0,508,671,0,0,1246,75,0,86,847,180,2360,94,119,4479,79,4458,188,1837,12920,0,519,381,1373,92,1044,860,0,1258,0,1013,88,0,717,784,768,115,10132,9460,8159,1354,1474,6245,1215,0,94,5241,1551,0,0,202,3477,2743,5646,1213,13202,1564,0,4193,609,883,778,0,894,0,7111,10928,116,1762,133,798,0,887,0,113,210,12045,132,0,733,776,5726,1205,5346,3624,575,0,822,260,5666,0,1271,2051,1861,8025,901,709,1198,1112,0,3685,130,3766,0,648,595,0,126,310,0,2150,0,0,81,0
ERMEJOL,0,4150,0,0,1415,0,0,0,329,0,0,0,1363,0,103,589,0,0,4096,0,2432,0,2079,0,0,0,3882,0,0,486,713,0,0,6540,0,0,0,96,1056,0,152,0,994,132,123,0,128,0,0,1004,8114,0,977,0,1291,183,0,1575,0,0,0,0,2066,391,0,0,6103,11706,2168,637,0,0,191,680,0,824,0,659,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,724,0,1784,0,0,77,6679,2761,0,739,0,619,0,0,2326,0,0,0,1865,0,0,0,1322,10440,501,0,0,0,1315,0,0,0,3057,0,138,0,0,11487,2377,6078,0,0,0,0,3684,0,0,0,0,24318,0,0,0,0
60I09,0,0,0,0,136,0,142,0,3518,0,0,0,0,0,0,38594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13186,0,0,51431,0,0,0,0,0,0,598,1890,0,23819,0,0,0,0,0,0,0,0,45723,0,0,0,0,0,17641,803,0,0,165,96,0,0,0,808,163,0,0,0,493,0,0,196,726,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,228,392,0,0,0,0,0,0,0,0,1120,0,0,0,2521,0,0,0,161,0,0,4332,9315,0,0,0,0,0,0,136,0,167,0,5170,0,0,0,0,0,0,0,0,0,0
Ek Fok Jou Op,14524,25716,32429,29606,13106,32131,27153,6668,40926,32671,11978,16094,45031,24321,17184,25726,8812,13484,14471,20763,74240,11521,23319,30338,65404,6593,4157,23904,52663,25516,16592,31777,28873,108566,8124,8378,51296,1347,51168,42386,6840,13556,30175,7779,19515,37629,46415,57191,12725,24111,28088,14084,13871,13726,14073,17723,64070,6837,8594,4027,12005,18926,17755,20305,6105,7707,31241,21679,33627,50220,67630,20261,117667,68314,37586,26951,28122,49173,40495,18676,22762,6201,25543,43916,5902,10807,8129,18506,12836,2811,11435,8812,19437,2729,36959,2254,11195,4818,12554,14412,4805,6627,43483,42353,25521,53988,60932,24621,14439,46125,17106,27662,11393,3625,3273,23617,17648,18269,104765,14228,32724,16671,49522,28765,19288,14468,34714,19855,6132,23415,30870,65935,7804,10049,40009,29527,33812,4981,45175,18563,255889,1260,91674,1431,24688,28787,44008,17517,6170,25289
StickyFingers97,197,0,0,751,0,0,0,0,242,0,0,0,0,0,0,4589,0,0,514,982,105,4133,0,0,0,0,1685,1198,193,0,0,0,141,0,0,129,104,0,0,597,363,0,0,0,2098,0,192,202,1172,1316,0,0,0,70,208,2278,0,0,0,0,136,1176,0,866,0,280,161,0,0,0,688,0,124,126,1405,1883,0,0,1190,764,119,765,0,0,0,0,8456,0,2794,0,4041,0,0,0,151,0,1956,0,1831,175,0,0,0,1268,0,0,615,0,720,0,0,0,775,1057,149,702,0,0,0,135,155,0,681,0,1022,0,1570,0,203,0,118,120,0,0,0,0,169,105,0,7233,0,0,0,0,0,0,494,1081,0,0
FAIRWEATHERRIDE,199,2884,2518,2179,8311,490,3234,1776,6298,0,336,2160,16135,12049,335,11775,0,149,3173,124,25163,5002,5160,16693,2858,160,3709,44808,3058,0,22991,2876,116,22365,94,317,2463,135,5123,850,1335,0,0,1086,24646,5081,17179,6939,3106,595,1864,7598,5695,953,1346,7637,0,2979,3904,2208,312,2994,25392,6075,0,2938,6257,171,13598,51556,374,2610,20511,18516,13493,14538,634,4065,7785,10873,221,4328,826,3144,0,0,15051,1053,3155,1751,1853,0,3026,0,104,5391,1093,1521,8059,0,17364,8609,49003,695,2294,3090,2254,2919,138,4274,1376,5655,1099,145,0,692,3903,0,68077,12155,21950,5306,1512,8740,25950,6135,4825,5365,5322,12487,14002,662,0,4204,16183,10177,5501,4411,16362,2336,25030,0,175,1052,1705,28515,4283,1701,159,4386
Ale Raptor,0,547,851,0,0,1023,206,0,2736,0,696,0,0,0,2475,7344,0,0,0,0,0,0,119,646,0,0,0,0,1570,107,0,970,159,2039,0,0,743,0,50242,1013,4622,0,0,82,1146,0,534,0,155,0,0,112,85,99,0,5364,0,812,0,0,0,2672,104,0,0,0,696,0,1871,1008,0,0,4087,1516,758,8449,0,14029,895,99537,763,0,19225,2086,140,0,0,0,0,0,0,0,0,0,0,0,0,0,223,95,4636,0,0,0,253,0,618,108,0,130,3120,124,3419,0,0,0,0,0,5729,0,0,0,0,0,0,0,0,117,103,44869,278,0,157,106,105,0,0,1367,0,0,5840,1292,0,1149,1563,1013,87,0,557,0
sueko27,0,0,0,0,1192,0,34198,0,13687,0,0,0,1821,0,0,0,0,0,1136,0,32249,0,0,0,0,0,0,0,0,0,693,0,0,962,149,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,241,134,0,0,0,0,302205,0,0,0,0,0,0,139,0,0,0,0,212,124,0,0,0,0,2791,0,0,0,96,0,0,0,581,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,1354,892326,0,0,0,0,0,1824,0,0,0,0,8067,0,0,0,125,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
davsukko,1743,0,0,0,0,0,0,0,1833,147,350,118,13497,0,98,0,0,885,85,0,1021,0,0,0,0,0,0,0,133,0,0,0,157,0,0,0,144,0,5475,1251,0,0,0,0,85,0,0,1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,1914,0,0,175,406,890,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,120,0,0,0,0,0,0,0,0,0,0,0,0,0
LeonEV,266,292,1427,0,2578,0,3496,0,7651,0,235,0,558,4523,889,1208,0,1156,119,0,1423,142,2078,42633,4852,613,1141,1015,659,0,0,0,0,5984,0,977,112,2050,7504,2574,2030,121,132,95,17347,132,3671,203,526,59,300,1089,181,99,910,646,0,98,99,0,2828,118,1038,0,0,116,604,0,8116,4375,812,0,16143,2618,5941,20650,501,3106,2312,276,0,0,1156,1284,0,854,145,974,0,0,1727,104,0,0,126,0,144,0,104,0,0,1534,60926,0,682,4124,0,3162,0,100,1021,0,253,275,0,0,818,67,33986,900,4622,247,3147,245,3991,135,0,2886,2163,6219,1550,0,0,0,737,3438,1658,0,141,0,205,0,0,4027,0,17178,9973,233,723,2714
tzutey,1842,0,0,0,158,0,0,0,0,0,0,0,1424,0,0,0,0,5710,3034,0,0,0,0,9847,0,115,0,0,556,0,0,0,0,787,0,0,0,232,11801,2433,0,0,5118,0,0,10352,0,386,0,0,0,0,0,0,0,0,137,0,0,0,169,1360,0,0,0,0,0,3822,0,0,21744,0,12861,0,0,0,336,9170,0,0,0,0,0,0,0,0,0,1602,0,0,0,0,39017,0,679,241,0,0,132,0,0,0,1556,0,0,0,0,0,0,1884,0,0,0,0,0,0,0,0,2154,0,0,0,0,0,0,3550,0,151,3344,121,0,0,0,225,1451,0,0,0,883,0,1009,0,4087,0,0,0,0,3850,0,0
dianaBRUH,0,98074,11875,0,0,0,296,0,6794,0,0,0,12136,0,0,396,0,0,132,0,0,0,0,0,128,155,20509,820,0,0,195,0,127,0,0,0,0,0,0,0,0,0,793,0,0,0,0,58737,0,0,950,0,0,320,143,0,0,0,0,0,0,652,0,5777,0,0,0,1134,111027,595,0,153,170,924,0,2994,2575,0,0,8377,1267,0,101,0,0,0,0,188,335,114,0,330,0,0,0,93,0,0,0,0,1568,138,460,0,0,0,0,452,0,1011,844,0,0,0,1074,0,0,0,1227,308,1834,0,0,0,108,0,0,127,481,1830,150,0,0,0,0,0,0,101,0,0,0,0,0,7472,908,0,0,136,3467,141
giorgintonic,0,9889,1197,0,9590,1238,11079,0,710,0,2851,224,17624,9219,174,0,0,1639,1527,2315,0,2713,0,0,5472,0,322,6035,15304,0,8626,799,0,0,0,7355,0,7107,0,0,0,0,0,671,3335,0,562,1220,0,0,0,138,365,123,672,0,6676,0,0,0,0,4932,3809,14206,0,2135,2496,3125,11972,6480,0,0,0,0,923,6417,4189,1257,3468,0,2188,2020,2010,0,2645,674,0,0,11062,0,0,0,3925,0,470,0,0,0,0,1073,1096,0,0,2793,2293,663,0,0,0,2739,786,346,6641,1987,223,0,976,124,0,6575,0,0,0,5096,5275,0,0,3627,288,1013,18221,7374,0,2362,0,149,1089,96,3837,0,136,0,0,172,1151,500,0,120,3511,4570
Prince520,14574,0,1203,0,136,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,33924,0,1796,0,23849,0,0,1205,0,0,0,0,0,13448,0,0,0,0,0,0,127,0,0,0,37863,0,3346,0,0,0,0,0,256,455,0,164,0,0,0,0,0,0,123058,0,0,0,59004,0,0,0,0,0,43876,0,0,3061,0,8959,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,80364,0,4486,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,18386,0,0,0,0,0,4318,0,0,0,0,0,0,107,10169,0,0,959,135040,3170,0,24928,0,123386,0,0,127,0
RositiSara,90,47325,1458,0,156,0,35124,0,7520,748,84,1484,8112,13994,122,157,0,1593,0,0,1198,101,117,366,182,0,17396,1418,152,164,1129,110,305,4561,159,0,0,0,2307,1920,125,0,105,0,167,982,48630,1243,0,126,147073,402,886,1340,0,116,36829,714,0,0,680,338,0,946,0,12779,548,901,41268,960,150,0,1192,321767,0,57260,1520,774,0,3167,119,1092,147,0,1045,894,0,6396,1512,831,0,753,0,79,108,0,0,0,0,0,0,0,1162,0,11108,146,1276,1729,0,1195,3734,118,635,1304,0,0,0,1120,8253,1184,32318,0,774,676,2719,0,112,894,0,28265,6014,0,0,320,691,1508,1568,23738,123,0,101,0,0,1605,0,1072,14620,799,9528,6385
Albeer3,0,18363,21144,1968,0,0,1218,0,5067,143,0,161,11623,0,2241,830,0,0,0,147,22290,5759,0,1440,1561,113,0,20364,0,20906,199,0,1282,1893,0,0,2066,0,15156,220,0,0,0,0,2616,1694,6083,5822,0,1612,0,0,0,33965,2174,0,0,2842,2442,257,0,5884,61552,0,0,158,319,0,1874,2698,0,0,2297,1277,0,170,258,3545,0,0,1905,0,0,6197,0,0,3874,4192,220,0,10041,0,149,0,32360,6951,16449,0,2868,227,0,0,8805,0,142,235,0,656,1352,2240,0,0,0,0,3163,1359,9427,176,8531,3279,2888,175,18825,13925,136,1095,739,3436,4758,12864,8921,982,0,0,2221,9074,5105,0,0,42960,99386,0,0,0,146,28225,151,137,0,0
afrolea,0,1464,0,152,0,0,355,0,1708,0,0,0,45010,0,94,5003,0,0,0,0,0,0,799,77,217,0,0,2607,0,0,2411,0,0,2255,0,0,0,0,0,0,130,0,0,0,3728,0,266,464059,0,0,0,2288,1220,0,0,0,0,0,0,107,0,0,1522,0,0,0,911,0,91537,149,0,0,900,2879,0,3123,0,0,0,0,232,0,145,0,0,0,0,0,742,0,100,0,0,0,779,1191,0,0,117,0,173,0,637,0,0,101,4214,646,0,0,0,0,0,0,0,0,686,0,0,5256,275,0,0,0,842,0,0,117,1210,3817,635,0,0,128,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0
Rufo2985,357,2896,6632,3979,516,0,723,2067,2231,351,1712,1121,8361,2137,317,2006,94,621,137,151,872,1904,0,2033,2898,117,3527,3962,2032,562,4158,4284,0,1271,1619,968,0,1212,1232,274,1253,265,157,957,3642,986,1801,1771,1261,607,322,925,187,796,980,22244,130,5189,995,770,0,3013,1439,787,8497,100,2317,75,2745,0,151,138,690,1481,2172,1893,100,929,2202,1373,749,128,1339,0,0,1128,100,1633,2191,2829,474,2433,1786,139,745,764,429,86,2594,1012,0,935,4171,264,1749,872,2458,1818,1382,1385,1618,994,5924,354,939,519,1310,142,3433,322,2223,110,73,3253,1728,3719,1994,1671,0,4933,2382,745,1757,1654,0,1817,5033,1563,1151,110,9441,651,81,2472,1004,3504,0,854,3741,1658
Matteobaru,0,0,0,0,0,0,207,0,5930,0,0,0,0,0,0,0,0,0,3649,0,0,0,0,0,8577,0,0,0,0,0,0,0,0,19814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41972,0,0,0,0,0,0,0,0,0,0,0,50885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6881,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,389,0,0,0,0,0,0,0,3386,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,8860,0,0,0,0,588,0,0,0,0
ll Magar ll,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,341,0,41611,0,0,136,0,0,0,864,0,0,118,149,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4151,0,0,0,0,0,0,0,9927,0,0,0,0,0,0,4248,0,0,0,0,0,1465,0,0,0,31956,7099,13868,0,0,0,0,0,0,0,0,0,0,0,0,114,0,3944,0,0,0,0,0,0,0,0,0,0,2276,0,794,0,0,0,0,0,0,0,0,708,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,5732,22811,166,0,0,0,0,0,0,0,0,5318,0,0,0,0,18720,0,0,0,0
Ame no Nikko,737,9402,5378,3056,0,0,0,3445,2626,16884,0,1687,0,0,2865,2003,0,0,0,0,0,79,0,0,1761,103,8245,52323,3508,0,0,10672,0,0,249,0,134,140,0,0,5363,2825,27572,11195,0,0,749,1802,850,0,50029,0,0,0,7024,21454,0,0,116,0,0,0,644,0,1017,0,0,133,112421,1484,100,374,0,0,0,22567,119,136,0,17564,1184,0,13781,0,824,103,14863,7909,661,2581,0,120370,0,182,0,0,0,0,0,0,20323,20112,4712,43316,0,954,0,0,2583,5202,27685,11696,13451,0,0,1430,31941,0,12442,574,0,0,0,10873,0,0,0,21867,0,0,0,0,611,4911,102,5822,0,0,0,7147,2359,0,0,10318,734,0,0,0,864,35614
YoSoyDani,143,64557,152478,7356,126685,1707,23671,781,22334,21569,2192,20885,35299,341776,47921,43120,1449,9883,55103,2811,21988,2179,643,32427,138161,951,4594,18896,43635,118437,23984,6382,13512,33318,0,2749,18484,1121,35347,242524,3306,6265,15045,0,3602,1304,55994,58647,32485,4781,2788,30580,3785,12734,33805,6113,25635,38464,6698,253,9862,4587,2958,43036,0,47277,57697,31244,93680,14036,25141,10215,28387,90661,4308,146553,9675,28412,16018,8544,3703,164,29217,1205,6087,1174,75171,18272,5846,0,88648,5045,28772,0,303,1670,15568,7387,23135,12935,15432,814,18571,4546,1055,15090,3377,20420,7665,55605,49683,264,120,7135,4425,1707,6874,13969,128950,7364,6877,3073,1082,31417,43426,7769,2858,6788,16360,52771,2223,69469,22627,19827,0,1215,35918,15570,3255,27330,4649,0,637,937,7938,7584,45462,30449,969,21939
Shinosix,0,151,2288,4808,1780,0,0,8986,12563,0,0,0,814,0,0,139,0,0,0,0,0,0,116,0,29268,687,1362,2706,0,5223,214,0,0,3400,0,0,0,7958,300,6455,117,0,116,2018,5136,0,2682,4805,0,99,2646,0,0,107,740,4153,3669,7845,7606,845,0,0,1694,0,948,0,3911,152,3702,0,0,1784,2978,518,625,1851,153,130,386,129,423,0,2127,7809,0,978,0,2141,2039,0,2790,0,2824,2109,0,171,615,0,4859,968,0,115,636,0,4137,0,194,7915,655,795,0,0,6043,0,3015,0,0,113,8562,1840,0,4363,0,0,3758,0,0,0,105,200,0,6097,114,131,6299,10069,109,7663,0,3418,762,0,0,0,0,886,15885,0,0,1109
OLDSLOWFART,0,0,0,0,0,0,140,0,3667,0,0,0,0,0,0,0,0,0,0,0,15822,0,0,0,0,0,0,0,0,0,0,0,0,46401,0,0,0,0,6869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,99,0,0,145,0,0,0,0,0,0,0,772,2330,0,0,0,0,0,0,0,10168,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,0,0,0,0,238,0,0,0,0
vacance,2248,2123,12839,0,168,909,0,0,15514,0,0,715,2972,835,0,27657,875,1867,141,96,649,5157,99,140,1107,0,553,1331,332,2209,15086,3101,119,5450,62,6046,848,98,1508,318,5350,152,112,681,11019,0,9972,220,1282,0,0,0,3615,1089,9447,6801,3258,2501,68,656,0,20043,24431,1608,0,816,2184,0,2675,924,0,685,8671,150,5606,234,0,3353,2751,0,2963,88,7366,3381,0,106,15492,101,779,7723,971,0,1628,1640,15273,3999,3686,919,7090,0,0,2887,2657,0,0,759,669,2466,126,0,16239,0,2109,0,0,83,9893,0,0,1029,9956,129,1528,8049,158,4545,124,3569,11629,133,235,0,145,7460,4456,3827,8082,15345,108,56369,31143,0,0,2029,0,65053,200,248,0,0
orfanlul,733,0,5013,0,867,0,870,9049,766,531,157,0,5143,719,0,568,0,0,148,1815,646,0,3964,15801,88501,1051,319,6688,650,711,6796,0,156,4985,104,8443,108,0,176,0,24284,339,0,126,5768,1782,8444,1826,124,0,105,153,220,1351,4111,34512,825,2996,2010,1228,147,619,65033,130,0,0,19739,137,1709,751,164,0,4776,4005,160,1943,107,0,1184,960,1748,11729,3793,1026,0,0,6321,1381,53097,7988,102,2787,1202,13845,631,3499,1466,0,1071,1336,1408,3214,6362,1130,138,1721,483,0,161,0,1647,0,14753,98,2541,126,4253,0,197,1193,1120,125,1767,631,1247,880,127,2247,2210,767,665,6248,0,236,4102,5123,2236,792,246,5353,63779,0,145,813,4242,26108,2827,638,274,0
unkn0wnBLADE,5902,2179,2594,4322,536,6771,7021,0,19427,123,1827,165,4920,21687,269,16393,0,0,8274,9006,0,57398,4615,8616,1702,45364,1373,35036,0,688,89,4682,14938,3110,0,18149,26986,1215,1282,0,703,0,1102,23183,119,749,3054,66675,256,0,1348,1168,38683,368,12106,0,8439,293,69,3809,3529,113,1976,6976,0,16880,23438,0,960,33920,771,10540,1976,11430,2232,18134,6939,4889,3519,150,1627,13868,5238,906,10850,0,10515,115,395,0,6183,211,38578,0,0,0,3159,6664,1154,10229,108,0,24908,59428,27681,240,111,12849,0,0,9854,0,106,9819,0,0,1766,8220,2069,81833,28747,880,5720,7723,899,1027,6796,23412,11270,5296,26066,14466,888,0,1324,5741,0,386,8215,22854,0,0,0,2453,0,8313,6820,2324,798,1495
KarlosTheWarrior,2550,0,0,0,11391,0,152,0,20088,0,0,0,0,1723,0,2098,0,0,41632,0,928,0,0,1622,873,0,0,337,388,0,0,0,0,19162,0,0,162,0,0,0,0,0,126,10266,1168,0,523,1028,0,0,780,3899,0,0,4486,0,0,158,0,0,0,0,141,3762,0,0,2052,0,8292,2397,0,2965,3878,9390,3060,20239,0,0,1031,0,1021,0,0,0,163,0,198,674,2267,0,158,0,0,0,708,1172,587,0,0,0,0,0,0,0,0,0,0,6820,0,136,0,0,0,0,0,0,137,0,134,3902,10058,0,794,0,247,0,0,0,949,2496,989,0,0,0,116,0,1440,463,1167,0,0,0,0,0,0,467,0,0,0,0
MegaXMega,0,0,0,0,0,0,0,0,1608,137,0,0,31824,0,1068,287,24507,0,126,906,28905,0,0,0,1943,0,0,0,98,10114,115,4489,3769,3724,26414,0,0,34264,1326,0,3075,0,0,0,32113,15475,0,0,0,0,0,0,3428,194,9564,0,7458,0,0,10702,141,0,12450,0,0,0,0,104,185,0,0,0,22922,0,11716,3721,1573,0,11955,0,0,0,0,0,0,0,13915,0,4423,0,1011,0,0,7538,0,0,59316,0,1276,0,0,5297,15897,881,7834,6603,3368,0,0,885,825,0,5825,0,2275,0,0,4477,1513,1107,4937,2087,811,0,148,16572,1396,0,198,0,0,15881,0,3839,947,5536,0,0,0,2415,57551,0,5574,0,0,410,977,0,0,1120
Orsite,0,0,143,0,0,0,0,228,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,212,0,0,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alxkius,0,0,1173,2300,2726,0,841,0,2777,0,0,123,8905,0,0,477,0,248,3422,0,7228,0,0,7138,613,0,0,38205,0,0,0,0,0,23065,1160,0,0,0,0,112,0,0,403,674,2012,188,857,13923,18100,0,0,0,778,0,0,96,0,74,0,0,0,133,0,0,0,0,0,325,15463,0,0,1571,155,8534,10732,6588,1098,6031,0,23234,0,0,0,0,114,1930,0,0,91,91,0,2931,9289,0,0,2084,4257,0,2150,0,743,0,0,16936,0,998,0,0,0,2803,730,0,837,93,226,0,3168,0,209884,1139,1546,0,0,5387,3336,128,3315,3663,5733,3019,100,753,0,0,372,700,2480,0,0,2592,2753,0,17079,0,0,4071,110,0,794,0
SilverRisha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3673,0,0,0,0,1452,920,0,0,0,0,0,0,0,1126,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,1668,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REVERT AATRØX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,6791,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GherkinTV,100,2025,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,633,434,0,0,103,0,0,110,0,0,0,0,4941,0,0,0,0,0,0,0,2232,0,0,0,2832,0,654,0,0,0,558,0,0,0,0,2472,0,0,0,105,0,0,0,0,0,162,0,0,0,0,0,0,818,0,0,0,0,0,960,2375,0,0,2131,0,0,0,177,5215,0,0,0,0,0,0,0,0,0,0,740,559,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,1084,0,0,0,0,0,0,0,0,97,114,0,0,0,0,0,0,121,0,0,0,135,0,0,790,0,0,9746,1481,0,0,0,0,0,0,0,0
