summoner,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu & Willump,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Senna,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Mandelion,3374,5502,4743,6833,12782,4174,12382,855,2446,7735,7073,5253,22233,196424,3736,65175,4029,1137,66268,12308,39797,6688,3489,6226,100622,789,9497,101146,17066,4405,6891,32452,65817,15447,3463,16593,13406,2894,11565,55863,3570,10739,3257,12080,16349,1322,60831,5382,11850,0,3914,13681,3748,10165,8480,23176,3125,12324,9263,113435,14167,10020,26954,2887,1793,6293,11919,1173,94241,10262,28082,7125,7879,14603,14624,22491,0,17556,1489,22447,32003,485,36911,6945,54334,72534,31703,25266,53745,18437,17658,9181,2681,5260,3509,1744,2383,5770,3122,1240,11944,2150,62984,2333,84934,4581,79863,2152,2204,7533,3594,69308,65351,14919,6231,27845,22971,7651,22485,5165,3503,5361,5193,10675,6585,2829,38949,9117,7846,69355,8658,3361,6920,3554,27845,5793,4088,494,5031,2300,8027,0,3521,1968,9359,38254,33295,260946,25082,7667
NostàroiCaphalor,5746,45956,249,17628,11973,2221,59095,0,3552,859,1252,1368,15695,54505,40216,7385,1342,3118,26431,3725,5624,3097,21759,829,4190,428302,3012,12121,71879,1249,3197,21263,3434,5934,1918,15724,32838,8253,3451,12091,3224,115914,53386,16280,4516,1248,9096,14454,4092,168,32467,6859,8079,163,53342,12213,12345,9897,55158,1158,4631,1507,1290,75040,181,4727,1039,21328,8412,20668,5248,24281,25426,5469,2877,37344,9826,1716,183463,774,1134,86243,15105,18561,1202,1490,55626,19519,6948,6670,1043,2035,28013,16243,213,1682,995,3734,3246,44728,297,1154,745167,60699,16130,1381,2514,8097,10567,2745,20803,22099,263,2376,8238,2093,1633,5000,14021,11384,8398,91066,2878,1508,3968,21481,6774,26460,3117,5840,6206,63362,390,8938,60927,45209,264854,2216,4427,23948,422,0,2258,150,20326,160,7463,3323,243,3185
RiftLurker,4146,95507,19794,24849,13790,48370,15485,7531,52714,50026,18712,56986,29911,13415,16632,65360,16468,731486,48937,55974,4271,38757,17182,35485,99892,14446,18488,51852,24026,29939,11605,21257,20400,8200,34680,17338,8933,34768,7692,5159,41956,15207,26376,8308,8389,33014,25266,63001,67257,56894,22600,29753,15021,43738,22111,6171,28761,3115,8769,11053,28345,44517,90951,17219,275,22331,50549,67708,34979,9018,11043,16910,18637,34823,15526,16050,16980,6108,27476,37995,24701,28767,30509,16108,73997,8256,4574,66422,30033,2456,21690,18333,29706,13224,29818,12564,41087,56112,49015,2705,5171,201,37794,96598,19532,78421,8511,59788,3771,11667,37254,16887,20311,43594,13225,48330,4822,5077,27571,84541,69881,11359,1935,81034,29805,11175,8437,38231,36914,14373,13143,4697,22515,50997,4603,15246,5998,22113,20316,1799,59117,0,7953,2212,17124,55160,38661,52995,24236,39808
SimonDeen360,15075,13473,11938,71794,7453,9348,7369,4088,59983,3452,9084,97833,297554,28922,95645,183502,3817,17172,17001,22822,124323,8266,14330,45542,10857,5321,9955,82352,18929,23295,13460,50985,138146,31835,15589,47504,55104,50108,3720,17081,13890,30343,151888,19370,22162,18771,126526,38011,54262,9440,25438,18305,6077,33048,14541,24363,7823,10421,14953,8147,41537,22240,111321,47623,2413,1605,132729,23553,38729,22632,9862,17406,33342,35882,18602,122278,19701,50378,20436,5270,38848,2032,23235,28510,13416,25496,10884,28361,26675,0,6552,95108,15042,30298,12704,34016,14303,37120,17001,36941,15413,10762,80437,15179,10026,27852,53600,56328,10194,29108,58831,23020,2050,7418,24380,5423,7870,22482,17322,585562,25607,23033,20407,47464,67020,2392,22810,40903,98079,15575,8552,13403,56896,12193,11095,18302,3190,14905,15644,64270,66512,0,10703,7973,32292,18380,34883,6489,5530,24421
Lateox,3025,21071,3993,5191,1272,4086,3561,22132,22324,4510,33510,79441,14598,9297,8165,58027,5125,15237,2758,18052,5817,3542,313,16239,15377,10100,2444,64863,3559,7300,6006,10661,7341,928,8822,12293,20388,2566,4469,390,10626,3929,12873,4232,2839,5972,64035,37486,32719,20427,12014,4991,4799,14862,4208,2328,4796,7842,3610,532,17539,14062,19093,2964,0,10709,158386,14694,13085,1207,5338,6552,1384,19176,98,12865,18561,2580,2007,4649,12421,4810,3416,1758,27975,5374,2681,5994,5494,186,3419,17694,1152,3192,4826,4223,22110,8279,9439,3063,3829,737,3682,4923,800,909,1700,16787,4597,4992,3265,3922,5777,75610,8094,21225,2835,16764,3711,227469,21697,833,1622,16571,19595,0,3449,21706,110981,4986,8155,3049,22336,13944,2607,834,2401,22115,7476,3615,6932,0,1066,2897,8283,8991,6440,16022,17173,11000
BW Vypern,0,1854,0,22942,30852,973,108,0,5529,0,212,165573,21347,1746,67306,10339,0,0,902,0,2843,3586,10217,767,1944,631,0,4121,811,41240,136,785,11862,908,32261,4449,5596,0,0,0,614,0,48938,2830,2381,524,953,3609,101,4481,8379,0,1063,2219,0,0,5441,2943,1177,3066,0,6938,26482,16513,0,0,42777,3067,2535,0,0,0,0,9774,0,55726,21041,1202,2435,0,0,0,0,0,157,0,0,31417,4399,0,0,1657,1210,2326,1720,186,27104,0,982,255,0,0,0,51490,4949,0,1639,351,0,167,34020,168,0,0,33189,96,1042,14828,953,197271,8751,12668,1372,192,0,0,175,0,4809,1301,1558,261,0,3377,787,0,1016,0,3218,3077,2326,0,0,0,9703,28522,0,2237,0,49434
KRILLINNOKOTOKA,1174,0,0,0,0,0,0,183,0,0,0,0,0,0,0,168,4880,1558,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,2526,0,0,1525,0,0,0,0,0,751,0,0,0,0,0,0,0,0,152,0,0,0,997,0,0,9895,185,0,535,0,23853,1053,0,0,11260,131,0,0,1172,0,898,0,779,0,0,0,0,0,0,161,0,0,188,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,1666,0,0,0,0,0,0,0,9429,0,0,0,0,0,0,1290,0,0,193,0,0,0,0,0,0,0,0,0,116,129,0,5288,0,3110,970,0,0,0,0,0,0,0,0,0,0,0,0
Chadlad69,58774,3133,1776,117,8170,2890,13936,123,14307,1574,0,579,7305,20317,72,239,12186,1311,9367,716,24245,48949,17272,0,3982,153,0,16837,17278,2563,1172,5265,1556,96647,33283,1674,1551,2868,15241,26103,5474,0,3901,1096,7319,43704,6387,728,948,100,4295,658,964,17646,0,0,22943,0,0,201,1047,1813,1377,3756,0,24385,1906,853,22713,27895,20317,20701,3983,22268,111595,9613,2944,4266,4145,1379,357,1212,0,4659,1015,1805,1161,2865,0,0,36748,3279,1268,249,2607,0,2374,32901,0,655,0,28458,9595,3586,1260,45971,10891,17225,807,4887,2941,58764,2256,1884,574,2007,1808,1589,24903,1768,1918,236,2956,2546,2355,4753,24304,13018,1537,7904,4362,0,0,182841,25430,0,9540,2514,768,607,4791,0,10503,0,899,822,8503,1030,131,2302
MartinoPunto,7947,1124,122,8052,11056,2714,5697,0,3754,219,1471,1405,5343,2564,16747,21370,0,0,2535,977,1318,6291,13352,744,0,0,0,2799,1796,0,0,2441,0,13689,1785,0,1355,0,15254,0,0,79,5096,3230,543,1167,0,16082,144,261,3647,5913,457,107,102,0,0,0,0,0,0,0,10049,21980,0,0,6640,3023,5814,5069,0,4150,3354,2177,4279,28606,3773,42433,4043,0,3556,5353,968,3041,715,0,8548,102,0,0,85,0,2003,0,1892,107,1255,0,0,97,0,0,7936,3227,5963,1932,212,8237,0,6555,1667,0,0,0,0,110,0,2807,6800,35709,10404,0,1407,2280,4965,0,101,1757,225,0,2157,679,123,1248,3668,0,0,169,9302,1703,3212,0,0,1215,3047,6665,0,733,1694,401
Samï,20287,20914,884,45140,5335,18441,8205,746,15181,5278,28728,132041,53400,13112,6962,61620,2223,28308,20432,56979,5399,6686,36998,90546,3226,120332,3569,220188,8445,2694,28535,6681,28763,3933,17309,67847,17720,37911,20115,8924,6636,5409,4875,21697,1781,16990,117125,27069,22354,17562,13074,24150,28922,4428,12405,14265,11462,94438,5096,2603,31725,5008,112434,5943,336,4849,64896,43640,21970,22106,10760,28142,401,4946,938,29900,41891,20856,23965,7077,57509,3029,4708,9122,46341,2024,6306,6222,8161,868,4581,3958,5606,4177,32994,4437,5856,134704,25884,7381,12504,0,3849,7022,5446,5473,9640,18642,1884,1097,4388,2296,126,31934,7347,7673,4768,9873,10580,121944,16465,4962,513,7339,27820,12998,17093,123271,23195,31911,36367,6410,94586,4961,10739,6463,3767,23748,30275,4659,629,0,35792,2027,17564,36611,36524,16478,3701,8902
FreddieS,126,0,124,13160,6036,0,6622,181,69280,0,0,0,318706,5700,6003,211975,0,110,3135,1800,2864,0,5213,221,0,0,0,266701,0,0,0,403,0,7811,0,144,1918,0,0,0,0,0,9219,26580,20590,0,118732,13967,116370,3861,8584,1290,5411,0,154,0,5860,0,0,0,1911,0,187297,12547,0,214,539493,704,2008,1558,0,0,77,13702,0,13220,4246,1345,6644,0,0,14266,362,164,0,2023,9094,113,15146,0,0,2708,28165,0,0,0,0,721,0,673,18602,0,78715,204,104,154,1150,145036,184,15837,1868,1291,0,0,0,930,0,2333,1677,165837,279946,1690,0,12564,13931,1327,960,15997,119140,1284,0,875,0,0,0,174,1843,43152,973,179,0,0,0,336,0,256,0,10953,0,0
but why u mad,0,2203,0,0,129,0,1848,0,0,0,0,0,0,15890,0,634,0,0,0,0,1981,0,0,125,1055,0,11172,0,0,279,2179,0,0,1849,0,0,422,0,0,0,0,0,0,0,557,0,150,0,0,0,0,2030,0,364,0,1030,0,5330,0,0,0,0,0,0,0,0,2706,0,307,2053,0,0,10377,150,2491,706,0,0,638,0,0,0,196,0,0,0,666,0,549,0,0,0,0,0,0,0,3418,0,921,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899,0,0,0,140,10337,0,0,0,695,0,689,0,0,8709,0,0,919,675,0,0,43486,0,0,0,0,16410,0,0,0,0
BestÀsheEuWest,837,66571,23403,19632,0,2134,13198,136767,194010,1923,36251,2732,4342,10994,3853,41852,36208,0,0,4659,1750,4410,175,8614,36450,7065,27549,12095,910,3552,0,1910,0,0,14017,0,13412,126,495,1452,56485,2319,30732,811,0,0,263330,220347,118972,2568,1146,1583,14184,2149,23885,19686,550,1434,159,0,21108,45797,5488,0,111,8585,31295,2475,4712,5453,835,825,5051,11230,1869,16183,634,165,202,13739,0,0,131,0,93,89,3216,0,14118,24416,947,14014,0,28492,1172,0,689,0,4034,3086,53625,6168,1003,0,0,308,7615,25958,86,4323,11084,155,9614,1891,2426,3109,114,10209,3181,34068,102727,152,0,263,34098,0,875,3923,15372,1684,4874,0,221,1030,318,9453,0,244289,968,128,1301,0,0,875,701,3767,1840,165,20533,2016
ƒruit,7833,22180,73582,12905,4757,5152,36971,37252,38516,3124,6765,5442,37907,41091,15545,79827,3552,10736,3683,3516,21507,66216,7951,8337,37122,18256,12532,77080,31698,61069,48803,6620,11468,13929,15161,84,43080,16923,1651,5124,38718,2840,9425,4317,24032,14886,89268,144947,68106,44747,4684,1286,160039,62790,2865,9936,30818,69525,15776,2743,26396,29681,39687,21575,164,9175,90666,37226,17920,20947,6581,30457,7696,10699,13506,5591,220,25618,14269,0,14474,17952,3189,5619,49141,0,17846,34950,50014,52325,19689,160,15591,11377,20792,62893,25094,77358,5508,3008,14548,5477,10631,13248,18613,4427,619,21325,22679,335,6730,2926,5448,12356,6556,21837,57387,4171,16854,119893,51054,17194,15605,8021,182267,5896,1481,29444,105717,27608,33639,15821,79204,40734,6645,14782,42883,24223,32086,4083,88563,180,1804,21305,17043,161120,4335,1308,7890,9314
Doublot,7841,139617,18324,10821,4856,13582,23371,2552,11290,1902,33900,2172,1622,8317,22226,2486,3963,25441,7845,33985,9187,41190,4208,2523,23969,3542,22544,28787,3206,8659,99307,11322,8588,4838,10567,20334,11438,8011,1577,2880,11820,90,1322,22438,11342,58896,7422,6236,8845,5628,10259,2121,25662,28854,115,3285,23425,3288,3019,696,10045,106829,61814,4456,0,14844,41097,26760,33480,5580,17028,6321,3154,9878,4271,9755,264,5600,10419,1152,18402,8526,4497,12155,140867,3013,18610,6995,11552,8654,866,1746,126,10206,13894,12841,11273,12977,29054,1612,192,7911,1005,2039,719,2229,395,16153,1492,3292,3383,7827,21306,75321,2831,5156,19751,15807,1894,28769,20012,3076,1684,50838,5419,501,2279,22748,26728,12168,43625,1241,37953,9496,2033,1162,4803,10294,9848,4366,52551,0,0,979,6664,63254,7585,6698,10387,3530
ToastMedSpejlæg,4243,10222,1822,6997,9747,956,15000,12989,193793,13342,1446,29915,59972,47858,23533,215753,49143,39074,4053,55498,1750,9187,3081,120770,2059,4201,1995,200151,9578,10203,5847,4621,18258,15447,3520,11603,64689,5782,24211,16853,6694,23111,25061,26128,5329,38778,352902,165274,143249,214980,6814,6950,4983,982,6478,60838,61331,3731,5861,8266,78145,4727,15283,11241,931,8241,327554,71388,11852,10075,12017,21119,2495,149382,82588,15837,27634,5563,19199,6960,3987,5802,4324,2343,9373,5914,3197,13539,887,194,5330,15233,6119,1415,5580,1536,295,3416,3989,3922,26934,6031,8573,644,2510,6414,6150,143893,2332,6303,6897,8898,5220,21999,48923,2310,133,7767,33568,66010,158847,3858,3990,2005,132823,140,7797,104217,349298,4288,16486,4707,45133,1450,6436,2950,5503,127906,8590,3736,7952,0,1551,6126,18171,2939,105591,2968,239,9439
Cpt Pog,48781,30730,45451,9898,4366,40776,5994,1720,22346,12420,50073,8862,6430,14113,6679,39793,25821,33182,8937,29388,7823,38083,5111,3081,21296,28445,8001,68916,27159,18575,33835,16818,26128,4675,18861,15199,33498,8281,7469,4107,57940,22351,10344,17004,24565,24284,21822,12410,31993,16144,12682,12989,35015,15015,19859,35078,13550,53424,15916,7122,12984,52527,69446,17232,3498,14220,51686,23092,30151,7823,10655,6082,32970,3056,2019,23411,6760,2734,5466,9324,22797,18519,6770,23048,66448,22507,14569,2352,37970,18599,8657,12642,10153,21167,3332,25759,10615,18863,53913,6259,2281,11534,7556,36257,12622,7210,14908,44577,1447,419,5039,17722,17513,31991,4792,60654,19247,1075,3862,34168,24802,7917,9288,59853,4856,3838,7528,15867,50858,13780,14563,10923,28413,25773,4632,14249,4166,9168,8426,14875,61432,0,2552,6272,7692,89621,9365,6631,33080,5788
Krùx,61674,40569,35257,26079,29289,36103,28748,37370,54223,41457,58788,41259,28025,31017,28039,71231,51503,34166,32100,36720,52964,44912,30260,37003,88877,32825,38756,60664,51468,57630,28981,33106,38233,32384,35002,33951,38835,30138,26502,36782,51203,30913,29386,40351,50405,43377,96225,54382,100041,52580,27171,29674,34404,37242,99360,78510,28989,47794,45010,27841,36699,34944,65567,44389,26597,31695,81780,32568,30010,36605,29055,30739,35334,36842,49617,44980,32401,30458,29319,40521,48488,31364,33333,27255,44697,34190,48903,32091,40974,38763,55586,33298,26545,37380,34678,40032,34022,30809,41792,31066,30748,45910,58431,51753,34729,25646,37094,34646,49447,27241,51953,44144,57455,36769,48592,27777,83257,30729,27838,68408,52463,27842,0,38498,43696,43161,41285,61976,79982,30041,49244,32056,34981,34934,48813,43558,38844,57147,42809,44066,87735,1791,54822,30448,34896,41151,29277,32018,29643,30280
chrisjiii,6702,177,3729,21413,5891,5454,5232,10850,26599,10286,4720,30211,34238,1441,10915,69514,4225,641,4357,17511,11523,1525,2620,17151,13012,8274,6965,51375,5853,2864,1868,2235,269822,2887,11483,13698,20863,200,20508,7716,4829,7670,11328,1740,27561,1582,103603,130315,10509,49012,7568,1424,972,2009,2219,6927,29325,9567,10891,1745,8817,2006,65492,5954,346,1162,63863,1753,5451,2713,1744,4888,1760,16886,6414,2473,4416,13514,8044,0,7113,166,7107,188,416,8080,5909,12484,10230,0,3690,3715,17111,4949,0,4139,8402,415,22017,1794,8079,23852,3086,17875,198,10002,1128,4459,2873,970,13372,1096,692,2075,3467,9345,1284,21167,224,69139,29892,1937,1634,21153,36855,28804,20358,5650,46953,8267,386,17604,0,1983,5845,3698,2943,16019,180,1330,20422,0,661,1360,2468,3302,3535,8576,25921,1167
Mγthøs,2803,5615,41153,1379,2092,11367,2733,11946,22922,0,1064,392,1013,4847,936,48650,9178,4436,1031,1716,129,10864,0,126493,24712,4930,26360,158025,5924,3459,10912,8878,324235,2996,1766,18155,79192,10048,5050,847,80077,2132,13445,131825,7221,7149,138779,5899,101205,11796,8528,18800,4657,18367,20187,207847,1170,680691,3673,2257,1704,18754,113293,466,9443,8307,68665,1262,6943,11957,636,454,5954,9298,10772,4292,1245,6129,376,11803,31361,1460,97213,6879,24509,4250,36519,31113,50259,27237,5175,28178,1313,7062,3600,33295,12649,1238,14770,8243,28397,8696,4513,7722,12183,7890,8336,5904,4829,3083,3942,2499,43360,10219,515,44506,43978,0,6264,6401,15038,2906,1871,83574,3799,3493,2897,16733,11139,2615,6760,29789,652,41386,5489,15256,4044,52666,5195,123665,56780,0,896,2242,25452,98579,1572,1009,13974,868
Nsage,0,3644,0,8971,0,6205,1278,246,24784,24603,155,66599,1324,19805,511224,4199,0,0,519,0,0,0,0,647,78806,0,193,7539,2157,0,0,0,1809,0,9675,0,953,12166,0,0,0,1849,66547,677,0,0,108086,10879,33223,3517,69814,10903,15361,717,179,0,1724,3597,3842,171,0,271,0,49759,0,1485,0,15111,8514,0,7007,4987,0,333,5472,31337,136892,0,1103,0,112,7332,380,0,4965,1057,286,0,25385,0,700,58301,0,0,6549,0,180,285,338,0,204004,0,2592,0,0,3076,169,6231,0,96587,209225,30823,0,1367,25625,1066,1372,265868,18111,46751,220,0,0,0,1375,0,2821,2432,4597,0,62369,219,95,0,73306,0,0,1548,84398,0,161,0,0,89314,0,37538,49533,0,0,30250
danisalguero24,3689,71955,79901,27801,17494,21929,34258,423,29614,19475,44516,3478,11998,65264,10228,32893,37871,14866,5903,25298,2039,38440,3276,1055,68590,26230,25164,38258,24520,16465,87736,29405,20067,3442,4781,43826,26279,72,10071,1229,25127,10101,68033,999,32310,7181,14217,20155,39420,1482,85171,3837,28355,61027,12955,13969,11252,7767,19570,1875,2718,127016,23019,4358,0,39629,37982,12713,135661,11680,23243,11880,30875,16849,11631,56149,8615,14999,3219,21803,21763,237,12697,7675,155321,5101,8208,24767,14369,28897,6879,17777,8635,107,9628,338,6377,7841,55362,3476,20468,3540,39072,53101,238,4710,8376,22633,127,5958,53007,22814,48688,41632,3627,35041,13332,21432,20690,28340,27676,8727,21612,111736,9527,6994,7549,3202,21370,29376,27068,3996,68599,93017,135,12494,9291,9612,18369,18039,50653,0,5684,3675,9203,51347,42102,41490,48598,11714
ItsAlwaysJgDiff,0,737,0,0,0,0,140,0,0,997,0,0,127,158,0,0,0,31833,0,0,0,0,0,640,1333,0,12052,1661,295,708,0,0,0,0,0,0,1085,0,0,0,87,5075,9547,0,0,0,0,0,444,0,1703,0,0,62405,0,619,0,0,0,0,0,1367,0,0,0,0,815,122,2703,0,0,0,4445,549,1253,11288,0,0,0,0,667,0,0,0,202,776,111,0,0,0,0,106,0,0,0,0,0,0,542,0,0,0,217,0,0,0,0,0,0,98,2488,0,160,2236,0,0,125,0,0,2267,926,638,0,2030,0,0,0,0,237,0,0,188,0,12782,0,2536,0,0,114,0,0,0,0,0,0,0,0,0,0,0
ργυη,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5268,0,0,0,0,0,2301,0,0,0,0,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0
Wainanot,370,3499,1833,583,0,1190,0,0,54038,9165,29283,1556,2512,18730,0,19403,4829,26347,9454,396,26168,1423,6179,1638,9379,20929,30722,27324,16185,10098,5256,30312,21495,2361,209,9829,14802,34250,1577,0,2903,55369,42423,2767,12142,4379,23060,15071,641,63663,2830,4853,2747,30940,7424,2035,1218,20149,3763,248,71443,3780,33323,0,0,1276,14767,18490,10421,1625,6551,6582,164620,5535,52957,1136,2498,77517,168,0,44178,29683,20704,4084,2589,0,194,2860,7609,0,0,0,3047,22767,2482,134516,18388,10564,4769,7263,1402,782,2418,0,13208,644,5527,2244,4348,71046,19052,1095,2638,11144,15287,6737,2567,188,1707,3816,26256,17469,30288,13631,89570,28141,1177,32322,23072,6662,5066,3738,3829,6639,2879,1018,14652,8888,546,2227,2959,0,658,0,10566,3163,6254,5961,120,0
IlIlVirtuoZIlIl,17074,32354,1211,20710,1473,2354,4626,2615,32668,1628,1339,2385,8344,10320,25452,120769,7953,290,1688,730,5515,6901,5365,11772,13172,7806,3501,24539,1789,12640,50098,2889,8080,2202,1737,4709,42880,2137,189,2221,13777,4525,12043,15302,9500,2364,23086,33941,28791,17543,4865,3836,2117,53231,9418,34692,1309,5023,34100,2587,20141,11916,34548,26645,0,1311,144661,13500,5434,9372,169,728,48914,26891,2663,3988,2725,5628,12768,157,30516,9743,5419,22591,8207,4886,3918,155,1881,5488,2295,7076,5643,7134,51197,4843,23257,310,299,4081,6159,0,10608,8047,26969,1320,1100,21621,805,2565,14385,3786,8560,3472,10610,284,9464,29549,4186,10628,53349,1476,10315,9494,18875,10090,1030,42647,106558,2307,3138,6449,1686,10594,7325,10220,2834,34858,1463,6876,15582,0,1919,2548,4794,46398,14765,2675,1823,7294
Gladunga,4093,1162,5451,22716,1558,62836,70969,989,43951,5965,11076,4565,36371,10631,41222,142450,2552,1013,37874,1933,83470,2920,4144,57221,11763,4113,1260,17653,3628,3311,4432,4939,9500,7350,1033,5356,8522,17365,327,6067,5065,1448,9002,2699,15615,4640,68667,45235,33647,7687,2243,7410,10962,5280,2403,82173,14475,3206,1344,2088,101905,5616,6004,22725,0,950,9641,14088,9309,1412,3851,4191,16733,76074,2466,14934,1038,50559,2714,1545,2344,247,3113,8710,17723,484,715,2954,6687,0,2675,225,1232,0,384,2465,276,943,2651,118,3437,0,7216,1714,374,564,7434,6775,0,3818,5084,2673,362,4146,521,2146,0,7002,4617,18833,27763,5172,4039,7850,57045,126,5031,12607,185422,12019,10029,6594,20687,9403,492,2057,4166,27126,15440,4153,19536,0,2061,4158,429,4218,5931,2299,7482,4368
Louis Posteur,1675,4298,36695,5300,4343,3540,4576,0,3425,1509,349,6809,62273,9992,3673,9277,649,1952,5658,0,2814,8966,13159,2759,9336,2580,1432,13771,19725,2144,9703,2313,2128,2422,2429,683,5417,7822,1231,4684,6676,0,3710,3342,26863,2476,1760,4958,2297,6127,969,1275,3952,537,3986,5655,16143,7597,5806,2343,4051,2931,3605,12430,0,5126,0,4049,10638,12711,6044,2404,4701,6746,4382,1803,2830,4019,4868,1289,1243,32059,1625,11220,2747,2151,4989,0,2274,0,1641,128,22359,0,0,2023,1489,3122,16594,1721,0,0,4905,187,1457,120,2852,0,4686,6486,3614,1910,176,1231,2941,0,0,1574,16376,20711,912,1383,10419,811,5151,12944,543,11005,7765,9011,3905,3079,5046,42573,5784,5532,2368,0,4384,5406,166,0,1322,0,2110,12110,2407,261,6170,963
Roxar,4739,5575,2119,18045,1890,5840,3761,8359,14503,2705,12250,114754,18560,21964,1338,40132,1536,9800,7235,13781,19231,1694,6816,103506,14448,0,14868,101338,6610,14723,1338,2928,32909,14316,2934,24508,53564,5129,59190,3471,13238,1824,16457,13325,11413,7604,68106,35743,31072,12539,11560,12250,4984,67598,46509,452,4479,8746,6227,6901,53011,2492,11323,1094,98,911,47185,16244,8083,986,2816,220,3344,18027,34492,2781,1813,32942,1549,1349,13404,0,3739,1324,6098,208,387,1319,15687,5306,2442,1510,2770,3899,14051,62882,26511,2960,63221,1795,8679,2662,17276,4561,10661,36239,37940,35472,2525,9177,7595,3821,9765,17349,19359,2351,3579,12078,105303,24971,50851,4074,24204,77412,17647,43178,19143,24748,51863,13625,5812,4042,15567,6534,153,600,3025,5546,5695,6172,10523,0,1898,15856,7781,3439,10097,434819,9068,2979
John The Bishop,2656,18304,238,30077,6752,2566,2588,319,14194,159,4185,55116,32332,4887,10998,44166,21636,7756,2363,11726,15055,236,6638,3052,22525,19851,3365,13600,4537,9296,1870,11312,22441,8444,68590,37180,11021,9456,5891,10966,17378,1817,235,19998,36667,3598,21171,57719,3613,8661,11316,813,1791,4960,2914,9338,9657,30945,4667,348,1904,4458,38016,9369,202,1635,48007,3697,3310,7930,5813,51714,12210,19949,1642,1510,2997,7039,5635,0,11511,4929,20312,20327,8810,7826,669,4229,0,0,3014,2292,6694,14301,19741,961,3726,8399,5794,34186,0,2892,644,26086,3865,4390,8390,2338,9079,1712,1482,0,912,6912,14778,2122,0,5482,5969,35510,41034,7374,11714,4749,15436,4750,2794,9968,47738,4356,2744,15093,8676,13484,6338,8695,1730,9188,2281,5744,8393,0,1137,0,31204,4702,17580,1753,3389,167
bobbl333,221,0,0,0,3761,0,0,0,5987,0,0,975,487,3406,0,17095,0,680,15544,0,4059,0,6228,7515,6302,0,0,3012,2460,1877,0,0,2965,33382,393,2391,0,0,580,0,0,0,0,0,3425,0,5584,0,7745,0,0,22707,1854,0,5847,1587,0,26301,1291,963,1821,0,0,0,0,0,1118,0,5961,27455,0,748,3726,0,0,0,659,12894,192,0,0,2900,186,0,0,173,2120,0,7827,0,8968,0,2192,0,7105,0,0,0,434,0,0,0,17562,134,199,9426,21396,8625,0,0,0,0,2437,0,865,1407,17052,0,13193,817,5132,0,15298,10728,10022,2295,2276,1018,19566,1203,0,8804,505,1291,144,2479,0,0,0,2714,5986,0,3904,0,0,0,567,0,0,0
