summoner,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu & Willump,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Senna,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Its Fistmas,34023,10387,4775,8033,11750,5064,6965,455,33405,4288,10119,21960,8145,15940,20656,18547,8269,2537,98600,4911,161469,20278,8746,23063,29563,9437,9073,30846,6187,40873,27489,4435,37642,63523,50352,6831,26251,55513,153,19081,31462,2708,1682,12469,11953,37948,63301,7539,6724,26013,64905,13122,30922,9335,28964,49727,10494,15098,13317,9080,12108,2131,22520,21544,0,19647,20631,16869,5177,57990,33180,12656,18855,20931,29987,5817,5997,12859,170286,811,3638,39882,4160,16042,4017,14363,27409,41535,7436,3963,474,2154,5128,16939,81997,140615,13040,9184,36979,13078,7480,6127,2959,21066,23718,2064,10966,1590,20690,7405,1511,22002,21230,6422,33370,1934,25955,9432,3163,61970,2320,32255,8800,18130,2465,2340,21256,15315,8078,25536,2030,12400,5518,27117,6116,15062,12775,8945,4688,18822,52489,0,12693,2226,31381,23107,6811,2603,1892,2031
InUrAshe,17093,17681,43310,17840,560,6588,11948,5326,38085,1628,7178,28295,26825,7878,15421,46657,10867,20808,8065,13267,64087,23393,3639,45995,25919,14131,19206,75077,12389,41394,20091,8980,18959,16940,3522,6076,20244,17577,10861,10224,36757,8541,19775,12177,17306,6394,78085,42980,35889,30610,41036,17314,19619,20302,19013,25642,26736,56402,11500,4119,24239,19126,47265,15397,0,8295,101065,11108,34892,4197,1868,5140,29545,33998,13187,27128,4634,6533,13299,1798,8220,17975,3714,10361,13327,12953,33367,18456,27815,4237,5446,15634,1140,21511,13981,97641,80006,12958,24207,8779,12645,3245,17419,14830,10321,6960,12811,39100,339,5098,8125,12606,9798,22287,18856,3610,18958,14086,137938,19559,67712,3558,38296,11915,43241,8027,21237,120957,205674,22236,36723,10950,8276,40870,3016,14243,16505,50474,61298,5652,153652,0,3135,28178,11071,53762,6456,10772,9471,1620
ruıned ur game,1532,0,1600,203298,9245,928,12344,147,4136,0,0,23326,18644,3093,13803,29117,386,0,3558,0,6416,964,37404,250,4351,0,9113,130130,4888,16012,29761,0,1173,4534,25765,27789,3693,2634,3376,2589,3978,8625,0,12570,110291,0,27179,4641,0,2261,160,0,4026,0,1497,6128,4541,15858,0,3383,0,1662,226173,9675,141,0,1959,180,7587,13294,1077,5409,13502,5685,5822,2109,1531,5651,17948,0,8604,1502,3142,31996,614,0,155,13661,40376,0,840,5967,5445,0,3289,39130,2849,0,0,1149,2601,51742,77719,28699,7136,25650,3743,0,22366,177,365,0,3805,334,17710,0,1039,3653,65571,46337,859,20508,11629,9110,10761,15865,291,3319,58368,1972,0,11905,0,4931,10464,9324,13513,0,142,32865,12786,0,1410,6703,23128,2614,39179,0,0,0
MeBuff,17741,1600,18861,1081,5068,0,5581,2769,66577,3011,1383,1804,28690,15699,5328,103864,756,1280,0,5512,0,3994,765,8359,54776,13788,30133,79179,2369,19030,79102,15391,10097,1322,2446,3092,2556,432,307,1413,41056,4804,40387,1358,7819,0,60685,155607,154680,16899,10243,26798,5556,5562,30632,18541,1139,4509,4707,0,36629,5222,11394,2274,0,761,38128,25636,15339,515,0,2191,39759,58539,225,23233,16542,1676,1256,11067,19099,0,8925,0,56237,0,1242,6710,81974,7839,1074,16441,13635,1500,0,4119,14492,2536,3240,0,16167,0,18705,1081,3487,8798,18677,11522,3593,858,15548,0,4126,5267,1448,25407,6807,1759,24275,185299,86285,95,1267,3763,251970,0,637,28613,236447,12663,28925,158,6752,1433,0,3077,95,15829,24271,0,19447,0,587,14874,7091,24366,12811,12595,110558,1794
Kremelord,8413,16502,1616,1127,823,3523,179,0,2667,53952,2903,9160,11770,3529,0,1655,1434,2151,621,10880,0,1732,6901,0,30040,6523,2842,27273,0,188,4729,5284,45479,1145,353,25098,9349,2344,2070,0,2232,0,0,2607,91,63008,22741,172,7232,0,7792,2109,7554,0,3164,2762,8303,14366,966,0,12951,19720,77543,1143,0,6891,60727,3860,29108,362,0,1276,921,2453,127,170,2286,607,1023,40889,10965,816,4494,484,25541,0,347,0,43950,106,13152,0,0,509,1832,1108,2576,17069,33980,0,4354,910,22785,3474,0,23959,101230,2313,0,273,1048,3888,1163,39305,1645,3740,55314,142,328,1114,9976,1029,0,6493,2880,0,1012,12590,2123,2576,8212,13470,9766,2721,0,0,6284,7898,1829,2885,3700,0,2913,0,1311,29815,4668,5440,595,9179
Sthhn,21196,25212,38119,25693,3449,18216,8395,19349,46551,10772,15378,35325,24872,6573,12800,85917,17171,12025,10119,38769,18162,23577,12939,58502,61217,16481,6698,150249,11196,22839,17640,14424,48230,6301,38494,32912,51217,4768,18238,13405,34846,17190,9249,18716,6609,22421,54595,31743,33097,55264,19442,9342,16470,31193,15022,18139,16394,19622,21844,15033,38038,43392,105513,3911,2088,8121,134538,16087,18711,14270,6971,17219,13235,45160,13803,8117,6442,2821,11421,11181,49743,6096,11458,6538,15460,17786,15454,15472,14392,6796,85465,14079,4422,14696,29919,54976,112661,13570,39627,4626,17150,12276,20446,17216,12205,4775,21332,35733,3689,3553,12379,13251,9872,16892,21029,26300,11321,10745,11049,49466,60112,10384,6367,23192,30480,1185,11138,41282,114399,14283,9361,8444,20915,17172,14319,7409,10693,35900,6930,4512,94286,0,6389,5544,8281,55661,16156,11007,25913,6830
Superapache,19204,45003,15105,4968,5598,27281,8218,2368,5907,4572,28599,9443,16807,13243,2495,40165,12168,35448,10366,36626,17965,73382,3567,59601,28467,6394,4385,69220,2005,20618,155657,32927,5574,7584,7677,13249,25227,8627,3775,1442,34232,3764,5702,19118,19229,16176,7084,21112,16673,4669,19116,5943,61324,5392,307398,18875,6480,14791,2461,2158,11590,10325,76835,6823,0,42732,61055,5916,18693,10924,66708,387,22732,10247,23914,7303,368,18503,2850,9371,6412,13560,5900,10605,89142,4458,5677,4976,9153,10439,6416,5777,4367,576,31965,22943,18030,15615,28147,6875,1805,1510,13240,522,5885,10418,7530,2863,2450,3422,4159,10377,12052,17949,5501,9644,10489,2387,12352,36431,27408,6440,7288,33956,7673,10627,8436,12008,50102,39523,23435,13114,20255,34282,10278,11704,6550,24342,9883,25331,65804,0,481,781,9645,31047,15358,5862,6050,5050
Teci,15305,10642,3313,4931,26760,10766,4629,686,5673,3828,6074,10089,13413,11335,5929,12328,449,16846,8028,8106,3770,10550,2905,4599,20064,162517,73907,16401,6157,2580,14169,9537,2208,1934,4855,75305,11358,11916,5327,1281,4586,2164,35450,38960,2730,5456,21435,15661,3767,3311,7812,5914,4320,4054,11132,11993,12523,89497,1144,2791,8630,5314,202989,18439,0,6780,77180,7615,17221,7111,5314,10251,3389,6174,1781,6599,10925,2033,7256,3907,13012,20791,3438,1754,30389,3210,11038,2731,1435,466,3039,1759,4165,13075,3545,2904,4434,8508,3484,21776,1072,828,997,4561,5887,2965,6630,7369,2762,10828,2448,7285,6676,24601,3987,6022,3178,7416,3557,69179,9092,1896,2102,2456,7380,192,1599,10257,10580,4317,5006,69887,8742,10154,2691,2101,12661,16323,19151,4715,1427,0,257,1098,244138,7034,3125,3497,9116,15669
Wan3b33,24996,2709,1659,136538,3992,30092,5275,9949,23439,10685,71143,110761,2737,37012,73704,91155,2920,2962,8449,7320,3055,0,1063,1452,9418,171,2008,77040,7583,1842,4649,14955,9190,4347,4180,29316,4815,3376,1559,995,38717,0,48412,27945,14640,12835,66991,16265,20369,40849,19621,3091,5455,17993,9380,9655,9475,4544,0,578,32246,21259,11952,20432,0,2268,54198,33634,73377,4778,1236,11225,3063,2293,1484,32450,15312,7845,40866,1895,13678,6107,1391,3699,38711,10328,911,1166,45617,1202,146,181275,1655,5667,5041,12070,35580,8303,6377,2978,12305,13718,1685,27001,1752,3771,8645,8949,1158,5118,31239,4052,4439,6513,80156,3190,2195,7634,470,247198,41568,2670,6433,26311,53717,36976,127,13047,108581,6626,8402,2264,5296,3858,5847,1047,2233,30447,7937,423,57915,0,167,5260,1520,5945,13421,7532,15863,5629
AlphaBarret,70289,11618,18301,46160,282,913,4720,0,9548,0,0,28230,15103,5627,33902,5918,44544,809,26482,5480,7297,534,24214,2896,15683,17290,0,76840,790,30537,9347,7991,9479,0,54561,32688,14613,11541,0,0,79034,0,31842,38229,10654,52887,2602,7152,21461,0,16156,4274,14247,0,0,138,79596,1872,8883,7209,1975,16342,66857,4589,0,14699,73258,22911,1205,11782,174,29895,95,3843,3430,19514,8093,219,26115,6620,2205,8009,174,16879,6277,30424,96,35014,7510,140,4798,13770,0,508,92438,3986,5541,25197,2771,4073,0,167,0,125677,1559,1757,50601,10459,227,1248,2424,5095,7179,5387,24055,4286,99,1615,277,124797,7635,8564,191,1003,1300,0,54890,17142,4250,103,4185,96,26938,6072,1538,1541,2060,15151,8102,1266,5899,0,109,114,2031,2952,1025,1464,0,2317
